Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Starry rockfish,Sebastes constellatus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, STARRY",1.04166667,26.78947,8226.20444,"reef-associated, piscivorous/omnivorous",0,0.46,1
Striped marlin,Kajikia audax,2010,Eastern Pacific,Eastern Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,0,0,1,Hawaii,"MARLIN, STRIPED",431,18.8,1843677.14,"pelagic-oceanic, piscivorous/omnivorous",0,4.2,1
Striped marlin,Kajikia audax,2023,Central Western Pacific,Central Western Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,Hawaii,"MARLIN, STRIPED",431,18.8,1843677.14,"pelagic-oceanic, piscivorous/omnivorous",0,4.2,1
Stripetail rockfish,Sebastes saxicola,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, STRIPETAIL",2.35294118,0,1301.7537,"demersal/benthic, piscivorous/omnivorous",0,0.38,1
Summer flounder,Paralichthys dentatus,2023,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,0,0,1,0,0,1,Middle Atlantic,"FLOUNDER, SUMMER",2630.29167,5405.4167,17054525.3,"demersal/benthic, piscivorous/omnivorous",0,0.94,0
Swordfish,Xiphias gladius,2022,North Atlantic,North Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"SS, JABBA, ASPIC",4,ICCAT,0,1,1,1,1,NA,"NOAA HMS, ICCAT",SWORDFISH,1402.3927,403.46936,12893276.2,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1
Swordfish,Xiphias gladius,2014,Eastern Pacific,Eastern Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Bayesian State-Space production model,5,Pacific Islands,0,1,1,1,0,1,Hawaii,SWORDFISH,863.076923,NA,6800254.49,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1
Swordfish,Xiphias gladius,2023,Western and Central North Pacific,Western and Central North Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,Hawaii,SWORDFISH,863.076923,NA,6800254.49,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1
Swordspine rockfish,Sebastes ensifer,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SWORDSPINE",NA,0.7692308,NA,"demersal/benthic, piscivorous/omnivorous",0,0.3,1
Thorny skate,Amblyraja radiata,2023,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,1,0,1,0,0,0,New England,"SKATE, THORNY",0,2,7810,"demersal/benthic, piscivorous/omnivorous",0,1.05,1
