"","Common.Name","Scientific.Name","Stock.Assessment.Area","Stock.Status.Area","Council","Council.Abbv","FMP","Assessment.Model","Assessment.Model.Type","Science.Center.Region","Rebuilding.Program.Status","SI.stock.boundaries","SI.data.prep","SI.model","SI.sci.advice","SI.other","Spatially.Explict.Implict","NOAA.Region.Name","NMFS.Name","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","Ecological","Schooling","Max.Length.m","Transboundary","Fisheries.Dep.Only","PerTon_Ave.Dollars.Adj_Commercial","Mgmt.Council"
"11","Atka mackerel","Pleurogrammus monopterygius","Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Custom SCAA",4,"Alaska",0,0,1,0,1,1,"0","Alaska","MACKEREL, ATKA",54316.7917,NA,31819824.8,"demersal/benthic, planktivorous",0,0.565,1,0,585.819298307341,"North Pacific"
"12","Atka mackerel","Pleurogrammus monopterygius","Gulf of Alaska","Gulf of Alaska","North Pacific Fisheries Management Council","NPFMC","Gulf of Alaska Groundfish FMP","Historical Average Catch",1,"Alaska",0,1,1,0,1,1,"0","Alaska","MACKEREL, ATKA",54316.7917,NA,31819824.8,"demersal/benthic, planktivorous",0,0.565,1,0,585.819298307341,"North Pacific"
"13","Atlantic bonnethead shark","Sphyrna tiburo","Gulf of Mexico, South Atlantic Coast","Gulf of Mexico, South Atlantic Coast","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","State-space age-structured production model",5,"Southeast",0,1,1,0,0,NA,"0","NOAA HMS, ICCAT","SHARK, BONNETHEAD",12.5652174,152.625,19946.537,"reef-associated, piscivorous/omnivorous",0,1.5,1,NA,1587.44065980108,"International, Atlantic"
"14","Atlantic cod","Gadus morhua","Eastern Gulf of Maine","Eastern Gulf of Maine","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","WHAM",5,"Northeast",1,1,0,0,0,NA,"0","New England","COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1,0,4677.51779782125,"New England"
"15","Atlantic cod","Gadus morhua","Georges Bank","Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","WHAM",5,"Northeast",1,1,1,0,1,0,"0","New England","COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1,0,4677.51779782125,"New England"
"16","Atlantic cod","Gadus morhua","Southern New England","Southern New England","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","WHAM",5,"Northeast",0,1,1,0,0,0,"0","New England","COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1,0,4677.51779782125,"New England"
"17","Atlantic cod","Gadus morhua","Western Gulf of Maine","Western Gulf of Maine","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","WHAM",5,"Northeast",0,1,1,0,0,0,"0","New England","COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1,0,4677.51779782125,"New England"
"18","Atlantic halibut","Hippoglossus hippoglossus","Northwestern Atlantic Coast","Northwestern Atlantic Coast","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","FSD",NA,"Northeast",1,0,0,0,0,0,"0","New England","HALIBUT, ATLANTIC",38.9166667,NA,633518.504,"demersal/benthic, piscivorous/omnivorous",0,4.7,1,0,16278.8480545791,"New England"
"19","Atlantic herring","Clupea harengus","Northwestern Atlantic Coast","Northwestern Atlantic Coast","New England Fisheries Management Council","NEFMC","Atlantic Herring FMP","ASAP",4,"Northeast",1,1,0,0,0,1,"0","New England","HERRING, ATLANTIC",63944.8333,8.033,33987253.2,"benthopelagic, planktivorous",1,0.45,1,0,531.508981195514,"New England"
"20","Atlantic mackerel","Scomber scombrus","Gulf of Maine / Cape Hatteras","Mid-atlantic coast","Mid-Atlantic Fisheries Management Council","MAFMC","Mackerel, Squid, Butterfish FMP","ASAP",4,"Northeast",1,0,1,0,0,0,"0","Middle Atlantic","MACKEREL, ATLANTIC",4559.25,41.272727,2325333.4,"pelagic-neritic, piscivorous/omnivorous",1,0.6,1,0,510.025420847727,"Mid-Atlantic"
